template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
alpine-base/v1,fork-cold,16,1,14,58.476,0.000,58.476
alpine-base/v1,fork-cold,16,1,15,23.781,0.000,23.781
alpine-base/v1,fork-cold,16,2,0,39.106,0.000,39.106
alpine-base/v1,fork-cold,16,2,1,27.459,0.000,27.459
alpine-base/v1,fork-cold,16,2,2,49.289,0.000,49.289
alpine-base/v1,fork-cold,16,2,3,17.279,0.000,17.279
alpine-base/v1,fork-cold,16,2,4,33.618,0.000,33.618
alpine-base/v1,fork-cold,16,2,5,18.684,0.000,18.684
alpine-base/v1,fork-cold,16,2,6,40.432,0.000,40.432
alpine-base/v1,fork-cold,16,2,7,41.244,0.000,41.244
alpine-base/v1,fork-cold,16,2,8,22.997,0.000,22.997
alpine-base/v1,fork-cold,16,2,9,50.716,0.000,50.716
alpine-base/v1,fork-cold,16,2,10,50.689,0.000,50.689
alpine-base/v1,fork-cold,16,2,11,20.680,0.000,20.680
alpine-base/v1,fork-cold,16,2,12,18.466,0.000,18.466
alpine-base/v1,fork-cold,16,2,13,23.037,0.000,23.037
alpine-base/v1,fork-cold,16,2,14,53.369,0.000,53.369
alpine-base/v1,fork-cold,16,2,15,25.268,0.000,25.268
alpine-base/v1,fork-cold,16,3,0,19.244,0.000,19.244
alpine-base/v1,fork-cold,16,3,1,20.287,0.000,20.287
alpine-base/v1,fork-cold,16,3,2,42.082,0.000,42.082
alpine-base/v1,fork-cold,16,3,3,21.516,0.000,21.516
alpine-base/v1,fork-cold,16,3,4,14.088,0.000,14.088
alpine-base/v1,fork-cold,16,3,5,44.083,0.000,44.083
alpine-base/v1,fork-cold,16,3,6,33.042,0.000,33.042
alpine-base/v1,fork-cold,16,3,7,18.847,0.000,18.847
alpine-base/v1,fork-cold,16,3,8,22.441,0.000,22.441
alpine-base/v1,fork-cold,16,3,9,32.873,0.000,32.873
alpine-base/v1,fork-cold,16,3,10,17.479,0.000,17.479
alpine-base/v1,fork-cold,16,3,11,18.911,0.000,18.911
alpine-base/v1,fork-cold,16,3,12,24.005,0.000,24.005
alpine-base/v1,fork-cold,16,3,13,46.835,0.000,46.835
alpine-base/v1,fork-cold,16,3,14,34.473,0.000,34.473
alpine-base/v1,fork-cold,16,3,15,9.703,0.000,9.703
alpine-base/v1,fork-cold,16,4,0,8.145,0.000,8.145
alpine-base/v1,fork-cold,16,4,1,17.101,0.000,17.101
alpine-base/v1,fork-cold,16,4,2,26.522,0.000,26.522
alpine-base/v1,fork-cold,16,4,3,37.912,0.000,37.912
alpine-base/v1,fork-cold,16,4,4,15.365,0.000,15.365
alpine-base/v1,fork-cold,16,4,5,40.438,0.000,40.438
alpine-base/v1,fork-cold,16,4,6,45.571,0.000,45.571
alpine-base/v1,fork-cold,16,4,7,26.922,0.000,26.922
alpine-base/v1,fork-cold,16,4,8,22.171,0.000,22.171
alpine-base/v1,fork-cold,16,4,9,36.123,0.000,36.123
alpine-base/v1,fork-cold,16,4,10,34.444,0.000,34.444
alpine-base/v1,fork-cold,16,4,11,35.960,0.000,35.960
alpine-base/v1,fork-cold,16,4,12,35.076,0.000,35.076
alpine-base/v1,fork-cold,16,4,13,31.752,0.000,31.752
alpine-base/v1,fork-cold,16,4,14,19.883,0.000,19.883
alpine-base/v1,fork-cold,16,4,15,15.916,0.000,15.916
alpine-base/v1,fork-cold,16,5,0,29.256,0.000,29.256
alpine-base/v1,fork-cold,16,5,1,15.428,0.000,15.428
alpine-base/v1,fork-cold,16,5,2,12.654,0.000,12.654
alpine-base/v1,fork-cold,16,5,3,14.289,0.000,14.289
alpine-base/v1,fork-cold,16,5,4,41.403,0.000,41.403
alpine-base/v1,fork-cold,16,5,5,13.074,0.000,13.074
alpine-base/v1,fork-cold,16,5,6,33.278,0.000,33.278
alpine-base/v1,fork-cold,16,5,7,26.088,0.000,26.088
alpine-base/v1,fork-cold,16,5,8,21.896,0.000,21.896
alpine-base/v1,fork-cold,16,5,9,34.473,0.000,34.473
alpine-base/v1,fork-cold,16,5,10,41.564,0.000,41.564
alpine-base/v1,fork-cold,16,5,11,25.562,0.000,25.562
alpine-base/v1,fork-cold,16,5,12,28.896,0.000,28.896
alpine-base/v1,fork-cold,16,5,13,18.835,0.000,18.835
alpine-base/v1,fork-cold,16,5,14,33.489,0.000,33.489
alpine-base/v1,fork-cold,16,5,15,15.154,0.000,15.154
alpine-base/v1,fork-cold,16,6,0,38.534,0.000,38.534
alpine-base/v1,fork-cold,16,6,1,15.717,0.000,15.717
alpine-base/v1,fork-cold,16,6,2,21.178,0.000,21.178
alpine-base/v1,fork-cold,16,6,3,17.928,0.000,17.928
alpine-base/v1,fork-cold,16,6,4,18.863,0.000,18.863
alpine-base/v1,fork-cold,16,6,5,11.017,0.000,11.017
alpine-base/v1,fork-cold,16,6,6,29.851,0.000,29.851
alpine-base/v1,fork-cold,16,6,7,17.072,0.000,17.072
alpine-base/v1,fork-cold,16,6,8,13.684,0.000,13.684
alpine-base/v1,fork-cold,16,6,9,28.185,0.000,28.185
alpine-base/v1,fork-cold,16,6,10,47.426,0.000,47.426
alpine-base/v1,fork-cold,16,6,11,47.971,0.000,47.971
alpine-base/v1,fork-cold,16,6,12,34.511,0.000,34.511
alpine-base/v1,fork-cold,16,6,13,44.973,0.000,44.973
alpine-base/v1,fork-cold,16,6,14,46.691,0.000,46.691
alpine-base/v1,fork-cold,16,6,15,18.261,0.000,18.261
alpine-base/v1,fork-cold,16,7,0,44.620,0.000,44.620
alpine-base/v1,fork-cold,16,7,1,32.877,0.000,32.877
alpine-base/v1,fork-cold,16,7,2,40.224,0.000,40.224
alpine-base/v1,fork-cold,16,7,3,11.300,0.000,11.300
alpine-base/v1,fork-cold,16,7,4,23.058,0.000,23.058
alpine-base/v1,fork-cold,16,7,5,34.870,0.000,34.870
alpine-base/v1,fork-cold,16,7,6,16.809,0.000,16.809
alpine-base/v1,fork-cold,16,7,7,17.694,0.000,17.694
alpine-base/v1,fork-cold,16,7,8,11.175,0.000,11.175
alpine-base/v1,fork-cold,16,7,9,22.875,0.000,22.875
alpine-base/v1,fork-cold,16,7,10,30.895,0.000,30.895
alpine-base/v1,fork-cold,16,7,11,28.491,0.000,28.491
alpine-base/v1,fork-cold,16,7,12,40.697,0.000,40.697
alpine-base/v1,fork-cold,16,7,13,31.091,0.000,31.091
alpine-base/v1,fork-cold,16,7,14,22.073,0.000,22.073
alpine-base/v1,fork-cold,16,7,15,14.679,0.000,14.679
alpine-base/v1,fork-cold,16,8,0,25.645,0.000,25.645
alpine-base/v1,fork-cold,16,8,1,14.536,0.000,14.536
alpine-base/v1,fork-cold,16,8,2,31.604,0.000,31.604
alpine-base/v1,fork-cold,16,8,3,48.218,0.000,48.218
alpine-base/v1,fork-cold,16,8,4,31.778,0.000,31.778
alpine-base/v1,fork-cold,16,8,5,14.921,0.000,14.921
alpine-base/v1,fork-cold,16,8,6,25.101,0.000,25.101
alpine-base/v1,fork-cold,16,8,7,38.633,0.000,38.633
alpine-base/v1,fork-cold,16,8,8,26.593,0.000,26.593
alpine-base/v1,fork-cold,16,8,9,20.709,0.000,20.709
alpine-base/v1,fork-cold,16,8,10,17.303,0.000,17.303
alpine-base/v1,fork-cold,16,8,11,26.678,0.000,26.678
alpine-base/v1,fork-cold,16,8,12,36.257,0.000,36.257
alpine-base/v1,fork-cold,16,8,13,24.493,0.000,24.493
alpine-base/v1,fork-cold,16,8,14,34.452,0.000,34.452
alpine-base/v1,fork-cold,16,8,15,17.573,0.000,17.573
alpine-base/v1,fork-cold,16,9,0,15.124,0.000,15.124
alpine-base/v1,fork-cold,16,9,1,35.750,0.000,35.750
alpine-base/v1,fork-cold,16,9,2,45.147,0.000,45.147
alpine-base/v1,fork-cold,16,9,3,20.069,0.000,20.069
alpine-base/v1,fork-cold,16,9,4,38.777,0.000,38.777
alpine-base/v1,fork-cold,16,9,5,37.348,0.000,37.348
alpine-base/v1,fork-cold,16,9,6,18.049,0.000,18.049
alpine-base/v1,fork-cold,16,9,7,20.902,0.000,20.902
alpine-base/v1,fork-cold,16,9,8,38.685,0.000,38.685
alpine-base/v1,fork-cold,16,9,9,11.704,0.000,11.704
alpine-base/v1,fork-cold,16,9,10,35.690,0.000,35.690
alpine-base/v1,fork-cold,16,9,11,20.059,0.000,20.059
alpine-base/v1,fork-cold,16,9,12,19.870,0.000,19.870
alpine-base/v1,fork-cold,16,9,13,40.634,0.000,40.634
alpine-base/v1,fork-cold,16,9,14,40.912,0.000,40.912
alpine-base/v1,fork-cold,16,9,15,44.178,0.000,44.178
