template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
python/v1,fork-cold,16,2,10,11.477,0.000,11.477
python/v1,fork-cold,16,2,11,33.496,0.000,33.496
python/v1,fork-cold,16,2,12,23.423,0.000,23.423
python/v1,fork-cold,16,2,13,27.927,0.000,27.927
python/v1,fork-cold,16,2,14,26.740,0.000,26.740
python/v1,fork-cold,16,2,15,23.316,0.000,23.316
python/v1,fork-cold,16,3,0,30.832,0.000,30.832
python/v1,fork-cold,16,3,1,34.929,0.000,34.929
python/v1,fork-cold,16,3,2,12.411,0.000,12.411
python/v1,fork-cold,16,3,3,28.236,0.000,28.236
python/v1,fork-cold,16,3,4,51.745,0.000,51.745
python/v1,fork-cold,16,3,5,39.146,0.000,39.146
python/v1,fork-cold,16,3,6,31.687,0.000,31.687
python/v1,fork-cold,16,3,7,48.695,0.000,48.695
python/v1,fork-cold,16,3,8,13.194,0.000,13.194
python/v1,fork-cold,16,3,9,24.648,0.000,24.648
python/v1,fork-cold,16,3,10,55.861,0.000,55.861
python/v1,fork-cold,16,3,11,43.774,0.000,43.774
python/v1,fork-cold,16,3,12,27.085,0.000,27.085
python/v1,fork-cold,16,3,13,43.455,0.000,43.455
python/v1,fork-cold,16,3,14,14.786,0.000,14.786
python/v1,fork-cold,16,3,15,23.401,0.000,23.401
python/v1,fork-cold,16,4,0,36.710,0.000,36.710
python/v1,fork-cold,16,4,1,39.511,0.000,39.511
python/v1,fork-cold,16,4,2,24.073,0.000,24.073
python/v1,fork-cold,16,4,3,16.981,0.000,16.981
python/v1,fork-cold,16,4,4,13.889,0.000,13.889
python/v1,fork-cold,16,4,5,24.613,0.000,24.613
python/v1,fork-cold,16,4,6,12.774,0.000,12.774
python/v1,fork-cold,16,4,7,8.484,0.000,8.484
python/v1,fork-cold,16,4,8,25.926,0.000,25.926
python/v1,fork-cold,16,4,9,31.060,0.000,31.060
python/v1,fork-cold,16,4,10,26.749,0.000,26.749
python/v1,fork-cold,16,4,11,34.868,0.000,34.868
python/v1,fork-cold,16,4,12,44.938,0.000,44.938
python/v1,fork-cold,16,4,13,32.334,0.000,32.334
python/v1,fork-cold,16,4,14,48.587,0.000,48.587
python/v1,fork-cold,16,4,15,17.135,0.000,17.135
python/v1,fork-cold,16,5,0,11.296,0.000,11.296
python/v1,fork-cold,16,5,1,17.064,0.000,17.064
python/v1,fork-cold,16,5,2,22.953,0.000,22.953
python/v1,fork-cold,16,5,3,17.174,0.000,17.174
python/v1,fork-cold,16,5,4,22.388,0.000,22.388
python/v1,fork-cold,16,5,5,10.365,0.000,10.365
python/v1,fork-cold,16,5,6,21.179,0.000,21.179
python/v1,fork-cold,16,5,7,30.840,0.000,30.840
python/v1,fork-cold,16,5,8,21.438,0.000,21.438
python/v1,fork-cold,16,5,9,19.655,0.000,19.655
python/v1,fork-cold,16,5,10,42.074,0.000,42.074
python/v1,fork-cold,16,5,11,40.200,0.000,40.200
python/v1,fork-cold,16,5,12,35.456,0.000,35.456
python/v1,fork-cold,16,5,13,39.840,0.000,39.840
python/v1,fork-cold,16,5,14,47.602,0.000,47.602
python/v1,fork-cold,16,5,15,23.333,0.000,23.333
python/v1,fork-cold,16,6,0,14.070,0.000,14.070
python/v1,fork-cold,16,6,1,13.705,0.000,13.705
python/v1,fork-cold,16,6,2,28.344,0.000,28.344
python/v1,fork-cold,16,6,3,40.922,0.000,40.922
python/v1,fork-cold,16,6,4,46.232,0.000,46.232
python/v1,fork-cold,16,6,5,12.964,0.000,12.964
python/v1,fork-cold,16,6,6,34.256,0.000,34.256
python/v1,fork-cold,16,6,7,23.869,0.000,23.869
python/v1,fork-cold,16,6,8,45.619,0.000,45.619
python/v1,fork-cold,16,6,9,25.934,0.000,25.934
python/v1,fork-cold,16,6,10,14.989,0.000,14.989
python/v1,fork-cold,16,6,11,25.462,0.000,25.462
python/v1,fork-cold,16,6,12,22.613,0.000,22.613
python/v1,fork-cold,16,6,13,45.697,0.000,45.697
python/v1,fork-cold,16,6,14,20.187,0.000,20.187
python/v1,fork-cold,16,6,15,12.960,0.000,12.960
python/v1,fork-cold,16,7,0,10.659,0.000,10.659
python/v1,fork-cold,16,7,1,40.258,0.000,40.258
python/v1,fork-cold,16,7,2,42.570,0.000,42.570
python/v1,fork-cold,16,7,3,40.555,0.000,40.555
python/v1,fork-cold,16,7,4,38.792,0.000,38.792
python/v1,fork-cold,16,7,5,31.029,0.000,31.029
python/v1,fork-cold,16,7,6,23.292,0.000,23.292
python/v1,fork-cold,16,7,7,56.286,0.000,56.286
python/v1,fork-cold,16,7,8,13.325,0.000,13.325
python/v1,fork-cold,16,7,9,37.133,0.000,37.133
python/v1,fork-cold,16,7,10,23.257,0.000,23.257
python/v1,fork-cold,16,7,11,27.072,0.000,27.072
python/v1,fork-cold,16,7,12,16.109,0.000,16.109
python/v1,fork-cold,16,7,13,13.202,0.000,13.202
python/v1,fork-cold,16,7,14,41.230,0.000,41.230
python/v1,fork-cold,16,7,15,14.657,0.000,14.657
python/v1,fork-cold,16,8,0,22.400,0.000,22.400
python/v1,fork-cold,16,8,1,53.213,0.000,53.213
python/v1,fork-cold,16,8,2,36.687,0.000,36.687
python/v1,fork-cold,16,8,3,33.571,0.000,33.571
python/v1,fork-cold,16,8,4,20.394,0.000,20.394
python/v1,fork-cold,16,8,5,30.185,0.000,30.185
python/v1,fork-cold,16,8,6,31.342,0.000,31.342
python/v1,fork-cold,16,8,7,11.778,0.000,11.778
python/v1,fork-cold,16,8,8,33.486,0.000,33.486
python/v1,fork-cold,16,8,9,14.626,0.000,14.626
