template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
python-sci/v1,fork-cold,16,2,1,36.960,0.000,36.960
python-sci/v1,fork-cold,16,2,2,36.504,0.000,36.504
python-sci/v1,fork-cold,16,2,3,40.337,0.000,40.337
python-sci/v1,fork-cold,16,2,4,14.381,0.000,14.381
python-sci/v1,fork-cold,16,2,5,16.002,0.000,16.002
python-sci/v1,fork-cold,16,2,6,25.531,0.000,25.531
python-sci/v1,fork-cold,16,2,7,25.138,0.000,25.138
python-sci/v1,fork-cold,16,2,8,40.944,0.000,40.944
python-sci/v1,fork-cold,16,2,9,16.868,0.000,16.868
python-sci/v1,fork-cold,16,2,10,32.486,0.000,32.486
python-sci/v1,fork-cold,16,2,11,27.962,0.000,27.962
python-sci/v1,fork-cold,16,2,12,28.221,0.000,28.221
python-sci/v1,fork-cold,16,2,13,25.691,0.000,25.691
python-sci/v1,fork-cold,16,2,14,40.968,0.000,40.968
python-sci/v1,fork-cold,16,2,15,21.462,0.000,21.462
python-sci/v1,fork-cold,16,3,0,21.689,0.000,21.689
python-sci/v1,fork-cold,16,3,1,41.622,0.000,41.622
python-sci/v1,fork-cold,16,3,2,41.132,0.000,41.132
python-sci/v1,fork-cold,16,3,3,32.415,0.000,32.415
python-sci/v1,fork-cold,16,3,4,24.238,0.000,24.238
python-sci/v1,fork-cold,16,3,5,67.015,0.000,67.015
python-sci/v1,fork-cold,16,3,6,67.186,0.000,67.186
python-sci/v1,fork-cold,16,3,7,19.931,0.000,19.931
python-sci/v1,fork-cold,16,3,8,53.167,0.000,53.167
python-sci/v1,fork-cold,16,3,9,42.650,0.000,42.650
python-sci/v1,fork-cold,16,3,10,52.625,0.000,52.625
python-sci/v1,fork-cold,16,3,11,21.568,0.000,21.568
python-sci/v1,fork-cold,16,3,12,45.131,0.000,45.131
python-sci/v1,fork-cold,16,3,13,22.236,0.000,22.236
python-sci/v1,fork-cold,16,3,14,15.589,0.000,15.589
python-sci/v1,fork-cold,16,3,15,11.951,0.000,11.951
python-sci/v1,fork-cold,16,4,0,42.077,0.000,42.077
python-sci/v1,fork-cold,16,4,1,56.393,0.000,56.393
python-sci/v1,fork-cold,16,4,2,21.717,0.000,21.717
python-sci/v1,fork-cold,16,4,3,26.795,0.000,26.795
python-sci/v1,fork-cold,16,4,4,50.268,0.000,50.268
python-sci/v1,fork-cold,16,4,5,27.469,0.000,27.469
python-sci/v1,fork-cold,16,4,6,16.577,0.000,16.577
python-sci/v1,fork-cold,16,4,7,21.472,0.000,21.472
python-sci/v1,fork-cold,16,4,8,24.875,0.000,24.875
python-sci/v1,fork-cold,16,4,9,15.455,0.000,15.455
python-sci/v1,fork-cold,16,4,10,50.466,0.000,50.466
python-sci/v1,fork-cold,16,4,11,52.133,0.000,52.133
python-sci/v1,fork-cold,16,4,12,36.587,0.000,36.587
python-sci/v1,fork-cold,16,4,13,48.071,0.000,48.071
