template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
llama-3.2-1b-q4/v1,fork-cold,16,1,0,69.829,0.000,69.829
llama-3.2-1b-q4/v1,fork-cold,16,1,1,46.471,0.000,46.471
llama-3.2-1b-q4/v1,fork-cold,16,1,2,88.085,0.000,88.085
llama-3.2-1b-q4/v1,fork-cold,16,1,3,51.919,0.000,51.919
llama-3.2-1b-q4/v1,fork-cold,16,1,4,28.027,0.000,28.027
llama-3.2-1b-q4/v1,fork-cold,16,1,5,39.779,0.000,39.779
llama-3.2-1b-q4/v1,fork-cold,16,1,6,31.286,0.000,31.286
llama-3.2-1b-q4/v1,fork-cold,16,1,7,30.114,0.000,30.114
llama-3.2-1b-q4/v1,fork-cold,16,1,8,33.233,0.000,33.233
llama-3.2-1b-q4/v1,fork-cold,16,1,9,45.746,0.000,45.746
llama-3.2-1b-q4/v1,fork-cold,16,1,10,34.409,0.000,34.409
llama-3.2-1b-q4/v1,fork-cold,16,1,11,67.827,0.000,67.827
llama-3.2-1b-q4/v1,fork-cold,16,1,12,59.209,0.000,59.209
llama-3.2-1b-q4/v1,fork-cold,16,1,13,46.170,0.000,46.170
llama-3.2-1b-q4/v1,fork-cold,16,1,14,98.597,0.000,98.597
llama-3.2-1b-q4/v1,fork-cold,16,1,15,30.132,0.000,30.132
llama-3.2-1b-q4/v1,fork-cold,16,2,0,57.200,0.000,57.200
llama-3.2-1b-q4/v1,fork-cold,16,2,1,20.193,0.000,20.193
llama-3.2-1b-q4/v1,fork-cold,16,2,2,62.796,0.000,62.796
llama-3.2-1b-q4/v1,fork-cold,16,2,3,23.075,0.000,23.075
llama-3.2-1b-q4/v1,fork-cold,16,2,4,75.350,0.000,75.350
llama-3.2-1b-q4/v1,fork-cold,16,2,5,47.954,0.000,47.954
llama-3.2-1b-q4/v1,fork-cold,16,2,6,20.052,0.000,20.052
llama-3.2-1b-q4/v1,fork-cold,16,2,7,32.726,0.000,32.726
llama-3.2-1b-q4/v1,fork-cold,16,2,8,33.150,0.000,33.150
llama-3.2-1b-q4/v1,fork-cold,16,2,9,64.524,0.000,64.524
llama-3.2-1b-q4/v1,fork-cold,16,2,10,64.442,0.000,64.442
llama-3.2-1b-q4/v1,fork-cold,16,2,11,59.374,0.000,59.374
llama-3.2-1b-q4/v1,fork-cold,16,2,12,34.786,0.000,34.786
llama-3.2-1b-q4/v1,fork-cold,16,2,13,72.954,0.000,72.954
llama-3.2-1b-q4/v1,fork-cold,16,2,14,50.342,0.000,50.342
llama-3.2-1b-q4/v1,fork-cold,16,2,15,35.995,0.000,35.995
llama-3.2-1b-q4/v1,fork-cold,16,3,0,34.499,0.000,34.499
llama-3.2-1b-q4/v1,fork-cold,16,3,1,65.111,0.000,65.111
llama-3.2-1b-q4/v1,fork-cold,16,3,2,56.489,0.000,56.489
llama-3.2-1b-q4/v1,fork-cold,16,3,3,69.767,0.000,69.767
llama-3.2-1b-q4/v1,fork-cold,16,3,4,14.255,0.000,14.255
llama-3.2-1b-q4/v1,fork-cold,16,3,5,40.537,0.000,40.537
llama-3.2-1b-q4/v1,fork-cold,16,3,6,29.044,0.000,29.044
llama-3.2-1b-q4/v1,fork-cold,16,3,7,40.724,0.000,40.724
llama-3.2-1b-q4/v1,fork-cold,16,3,8,79.882,0.000,79.882
llama-3.2-1b-q4/v1,fork-cold,16,3,9,36.416,0.000,36.416
llama-3.2-1b-q4/v1,fork-cold,16,3,10,18.759,0.000,18.759
llama-3.2-1b-q4/v1,fork-cold,16,3,11,96.216,0.000,96.216
llama-3.2-1b-q4/v1,fork-cold,16,3,12,67.162,0.000,67.162
llama-3.2-1b-q4/v1,fork-cold,16,3,13,65.855,0.000,65.855
llama-3.2-1b-q4/v1,fork-cold,16,3,14,63.091,0.000,63.091
llama-3.2-1b-q4/v1,fork-cold,16,3,15,56.498,0.000,56.498
llama-3.2-1b-q4/v1,fork-cold,16,4,0,46.200,0.000,46.200
llama-3.2-1b-q4/v1,fork-cold,16,4,1,39.951,0.000,39.951
llama-3.2-1b-q4/v1,fork-cold,16,4,2,29.169,0.000,29.169
llama-3.2-1b-q4/v1,fork-cold,16,4,3,30.229,0.000,30.229
llama-3.2-1b-q4/v1,fork-cold,16,4,4,51.200,0.000,51.200
llama-3.2-1b-q4/v1,fork-cold,16,4,5,70.056,0.000,70.056
llama-3.2-1b-q4/v1,fork-cold,16,4,6,53.142,0.000,53.142
